CustomerID,Age,Gender,MaritalStatus,Income,ProductID,ProductName,Price,StoreID,StoreName,Group,Type,Latitude,Longitude,TransactionID,Date,Quantity,TotalAmount
328,36,0,1,10.53,P3,Crackers,7500,12,Prestasi Utama,Prestasi,General Trade,-2.990934,104.756554,TR11369,2022-01-01,4,30000
183,27,1,0,0.18,P3,Crackers,7500,12,Prestasi Utama,Prestasi,General Trade,-2.990934,104.756554,TR89318,2022-07-17,1,7500
123,34,0,1,4.36,P3,Crackers,7500,12,Prestasi Utama,Prestasi,General Trade,-2.990934,104.756554,TR9106,2022-09-26,4,30000
335,29,1,0,4.74,P3,Crackers,7500,12,Prestasi Utama,Prestasi,General Trade,-2.990934,104.756554,TR4331,2022-01-08,3,22500
181,33,1,1,9.94,P3,Crackers,7500,12,Prestasi Utama,Prestasi,General Trade,-2.990934,104.756554,TR6445,2022-01-10,4,30000
285,20,0,0,0.0,P3,Crackers,7500,12,Prestasi Utama,Prestasi,General Trade,-2.990934,104.756554,TR38909,2022-03-04,4,30000
117,45,1,1,12.55,P3,Crackers,7500,12,Prestasi Utama,Prestasi,General Trade,-2.990934,104.756554,TR36491,2022-01-03,4,30000
243,38,0,1,3.34,P3,Crackers,7500,12,Prestasi Utama,Prestasi,General Trade,-2.990934,104.756554,TR20045,2022-01-20,1,7500
189,59,1,0,5.15,P3,Crackers,7500,12,Prestasi Utama,Prestasi,General Trade,-2.990934,104.756554,TR12061,2022-03-28,5,37500
176,54,1,1,18.32,P3,Crackers,7500,12,Prestasi Utama,Prestasi,General Trade,-2.990934,104.756554,TR39272,2022-12-21,5,37500
12,45,1,1,4.94,P3,Crackers,7500,12,Prestasi Utama,Prestasi,General Trade,-2.990934,104.756554,TR85256,2022-10-25,5,37500
329,19,1,0,0.0,P3,Crackers,7500,12,Prestasi Utama,Prestasi,General Trade,-2.990934,104.756554,TR4319,2022-08-30,6,45000
168,27,0,1,4.88,P3,Crackers,7500,12,Prestasi Utama,Prestasi,General Trade,-2.990934,104.756554,TR40337,2022-01-23,2,15000
154,31,0,1,8.36,P3,Crackers,7500,12,Prestasi Utama,Prestasi,General Trade,-2.990934,104.756554,TR75889,2022-01-19,3,22500
301,60,0,1,8.97,P3,Crackers,7500,12,Prestasi Utama,Prestasi,General Trade,-2.990934,104.756554,TR22929,2022-11-05,5,37500
28,55,0,1,6.08,P3,Crackers,7500,12,Prestasi Utama,Prestasi,General Trade,-2.990934,104.756554,TR72053,2022-02-03,6,45000
149,61,1,1,3.96,P3,Crackers,7500,12,Prestasi Utama,Prestasi,General Trade,-2.990934,104.756554,TR71806,2022-07-18,1,7500
231,51,1,1,16.59,P3,Crackers,7500,12,Prestasi Utama,Prestasi,General Trade,-2.990934,104.756554,TR61464,2022-02-20,4,30000
234,61,1,1,10.86,P3,Crackers,7500,12,Prestasi Utama,Prestasi,General Trade,-2.990934,104.756554,TR74741,2022-08-30,5,37500
361,26,1,0,0.06,P3,Crackers,7500,12,Prestasi Utama,Prestasi,General Trade,-2.990934,104.756554,TR70264,2022-06-03,3,22500
150,61,1,1,8.56,P3,Crackers,7500,12,Prestasi Utama,Prestasi,General Trade,-2.990934,104.756554,TR47996,2022-05-03,3,22500
423,22,0,1,3.55,P3,Crackers,7500,12,Prestasi Utama,Prestasi,General Trade,-2.990934,104.756554,TR6832,2022-08-30,6,45000
423,22,0,1,3.55,P3,Crackers,7500,12,Prestasi Utama,Prestasi,General Trade,-2.990934,104.756554,TR40755,2022-11-15,4,30000
401,45,0,1,4.08,P3,Crackers,7500,12,Prestasi Utama,Prestasi,General Trade,-2.990934,104.756554,TR69289,2022-06-03,4,30000
397,24,0,0,6.42,P3,Crackers,7500,12,Prestasi Utama,Prestasi,General Trade,-2.990934,104.756554,TR89889,2022-04-06,4,30000
258,51,0,1,12.57,P3,Crackers,7500,12,Prestasi Utama,Prestasi,General Trade,-2.990934,104.756554,TR78728,2022-03-07,5,37500
435,29,1,1,3.61,P3,Crackers,7500,12,Prestasi Utama,Prestasi,General Trade,-2.990934,104.756554,TR26577,2022-02-27,5,37500
114,22,0,0,3.14,P3,Crackers,7500,12,Prestasi Utama,Prestasi,General Trade,-2.990934,104.756554,TR91120,2022-01-23,6,45000
57,33,1,1,6.5,P3,Crackers,7500,12,Prestasi Utama,Prestasi,General Trade,-2.990934,104.756554,TR90300,2022-02-02,3,22500
214,52,0,1,13.14,P3,Crackers,7500,12,Prestasi Utama,Prestasi,General Trade,-2.990934,104.756554,TR53260,2022-03-17,1,7500
360,54,0,1,35.78,P3,Crackers,7500,12,Prestasi Utama,Prestasi,General Trade,-2.990934,104.756554,TR86261,2022-06-16,3,22500
293,54,0,1,10.4,P3,Crackers,7500,12,Prestasi Utama,Prestasi,General Trade,-2.990934,104.756554,TR11644,2022-08-30,1,7500
428,60,1,1,4.49,P3,Crackers,7500,12,Prestasi Utama,Prestasi,General Trade,-2.990934,104.756554,TR70798,2022-02-04,4,30000
39,66,1,1,6.19,P3,Crackers,7500,12,Prestasi Utama,Prestasi,General Trade,-2.990934,104.756554,TR81730,2022-05-30,3,22500
